,index,Cnt
0,Sales,329
1,Business Development,302
2,Direct Sales,169
3,Corporate Sales,150
4,International Sales,109
5,Telecalling,84
6,Customer Service,63
7,Customer Relationship,63
8,Customer Interaction,57
9,Content Writing,55
10,Key Account Management,36
11,Operations Management,32
12,English Content,30
13,Content Marketing,28
14,Python,17
15,Java,17
16,Process Improvement,15
17,Vendor Management,15
18,Finance,14
19,Product Management,14
20,Accounting,13
21,React.js,10
22,Strategic Planning,9
23,Node.js,9
24,General Management,9
25,Procurement,8
26,Financial Reporting,8
27,Chartered Accountant,8
28,Auditing,8
29,SQL,7
30,Corporate Strategy,7
31,Lead Generation,7
32,CRM,7
33,JavaScript,7
34,Golang,6
35,Marketing,6
36,MIS,6
37,AWS,6
38,Quality Control,6
39,J2EE,5
40,Financial Planning,5
41,Payroll Management,5
42,Linux,5
43,Hibernate,5
44,Logistics Management,5
45,Stakeholder Management,5
46,GST,5
47,Financial Analysis,5
48,Taxation,5
49,Production Management,5
50,HTML,4
51,Hindi Content,4
52,Redux,4
53,Microservices,4
54,Scala,4
55,Django,4
56,TDS,4
57,Agile,4
58,Income Tax,4
59,Inventory Management,4
60,Material Management,4
61,Supply Chain Management,4
62,Kubernetes,4
63,Budgeting,4
64,Call Center Operations,3
65,Tally,3
66,Brand Management,3
67,Internal Audit,3
68,Microsoft PowerPoint,3
69,Microsoft Excel,3
70,Data Analysis,3
71,Distributed Systems,3
72,Spring,3
73,Architecture,3
74,External Audit,3
75,Consumer Software,3
76,BPO Operations,3
77,Proposal Writing,3
78,UX Design,3
79,Contract Drafting,3
80,Channel Sales,3
81,SQA,3
82,GraphQL,3
83,KAM,3
84,Property Acquisition,3
85,PostgreSQL,3
86,Spark,3
87,Category Management,3
88,Revenue Management,3
89,Digital Marketing,2
90,Career Counselling,2
91,Behavioural Training,2
92,Sales Enablement,2
93,Pharmacy Operations,2
94,Corporate Training,2
95,Training Management,2
96,Grievance Management,2
97,Sales Tax,2
98,Desktop Troubleshooting,2
99,CI - CD,2
100,DevOps,2
101,C#,2
102,Machine Learning,2
103,Big Data,2
104,Express.js,2
105,Flask,2
106,MySQL,2
107,Product Lifecycle Management,2
108,Ruby,2
109,Ruby on Rails,2
110,Warranty Management,2
111,QuickBooks,2
112,TypeScript,2
113,NLP,2
114,Docker,2
115,.NET,2
116,Escalation Management,1
117,CSS,1
118,Salesforce,1
119,Product Marketing,1
120,Marketing Operations,1
121,Google Ads,1
122,Sales Operations,1
123,Loans,1
124,Performance Marketing,1
125,Google Analytics,1
126,Terraform,1
127,Credit Risk Management,1
128,Partnerships,1
129,Education Counselling,1
130,SAP S4 HANA,1
131,PySpark,1
132,Demand Forecasting,1
133,Shopify,1
134,Presales,1
135,Advertising,1
136,Magento,1
137,SOD,1
138,SAP Security,1
139,ITGC,1
140,MongoDB,1
141,GRC,1
142,US Recruitment,1
143,Recruitment,1
144,Hotel Operations,1
145,Warehouse Operations,1
146,RDBMS,1
147,Engineering Management,1
148,Wireframing,1
149,Redis,1
150,Project Management,1
151,Jenkins,1
152,NoSQL,1
153,FTP,1
154,DNS,1
155,Change Management,1
156,SMB,1
157,EMEA,1
158,Selenium,1
159,REST Assured,1
160,Performance Testing,1
161,Compliance Management,1
162,Perl,1
163,Microsoft Office,1
164,Google Workspace,1
165,Mutual Funds,1
166,Profit and Loss Management,1
167,R,1
168,Business Analysis,1
169,ETL,1
170,Azure,1
171,HTTP,1
172,PowerShell,1
173,Ansible,1
174,BTL,1
175,Scrum,1
176,Program Management,1
177,Office Operations,1
178,Facility Management,1
179,Asset Management,1
180,Marketing Communication,1
181,Game Development,1
182,Automation Testing,1
183,ATL,1
184,SSH,1
185,Sketch,1
186,Photoshop,1
187,Figma,1
188,Zoho Books,1
189,VAT,1
190,Statutory Audit,1
191,HR Analytics,1
192,Shell Scripting,1
193,Sales Forecasting,1
