,JobID,Job_Designation,Involvement,Experince_level,Hr_name,Skills,CompanyName,Company_estab_year,AgeOfCompany,Industry,Location,employees_count,Job_url
0,238770,Product Owner,Technical Management ,Mid Senior Level,Siddhartha S,"Product Management, Agile, Data Analysis, Stakeholder Management, Warranty Management",AGCO Corporation,1990,33,Agriculture / Dairy,Bangalore,1000,https://www.instahyre.com/job-238770-product-owner-at-agco-corporation-bangalore/
1,232279,Sales Associate,Sales and Business ,Junior Level,Pratiksha Yaduwanshi,"Business Development, Corporate Sales, Sales",Digicides,2017,6,Agriculture / Dairy,"Hyderabad, Pune",30,https://www.instahyre.com/job-232279-sales-associate-at-digicides-hyderabad-pune/
2,258174,CRM & Digital Marketing Specialist,Sales and Business ,Intermediate Level,Ankit Garg,"Brand Management, Business Development, Corporate Strategy, General Management, Operations Management, Strategic Planning",Kern Seedtech,2021,2,Agriculture / Dairy,Work From Home,30,https://www.instahyre.com/job-258174-crm-digital-marketing-specialist-at-kern-seedtech-work-from-home/
3,220759,Training Consultant,Sales and Business ,Junior Level,Deepak Mahajan,"Direct Sales, Telecalling",Blue Ocean Academy,1988,35,Airlines / Aviation / Aerospace,Delhi,30,https://www.instahyre.com/job-220759-training-consultant-at-blue-ocean-academy-delhi/
4,241862,Business Development Manager,Sales and Business ,Intermediate Level,Aparna Chaphekar,"Business Development, Sales",SugarBox Networks,2016,7,Airlines / Aviation / Aerospace,Mumbai,350,https://www.instahyre.com/job-241862-business-development-manager-at-sugarbox-networks-mumbai/
5,258649,Sales Consultant,Sales and Business ,Junior Level,Ritu Agarwal,"Direct Sales, International Sales, Sales",Travelounce,2022,1,Airlines / Aviation / Aerospace,Delhi,125,https://www.instahyre.com/job-258649-sales-consultant-at-travelounce-delhi/
6,258073,Business Development Executive,Sales and Business ,Junior Level,Mahek Garg,"Business Development, Sales",Chatterbox Technologies,2016,7,Animation / Graphic / Design,Mumbai,125,https://www.instahyre.com/job-258073-business-development-executive-at-chatterbox-technologies-mumbai/
7,249865,Sales Executive,Sales and Business ,Junior Level,Fariha Tasnim,"Business Development, Direct Sales, International Sales, Sales, Telecalling",Sloovi,2013,10,Animation / Graphic / Design,Chennai,125,https://www.instahyre.com/job-249865-sales-executive-at-sloovi-chennai/
8,250921,E - Commerce Manager,Sales and Business ,Junior Level,Shivam Gupta,"Customer Interaction, Customer Relationship, Customer Service",Buna,2020,3,Apparel / Fashion,Delhi,30,https://www.instahyre.com/job-250921-e-commerce-manager-at-buna-delhi/
9,234607,Retail Sales Executive,Sales and Business ,Junior Level,Devrat Singh,"Direct Sales, Sales",Ellementry,2018,5,Apparel / Fashion,Chennai,125,https://www.instahyre.com/job-234607-retail-sales-executive-at-ellementry-chennai/
10,194206,Customer Experience Associate,Sales and Business ,Intermediate Level,Devvender Singh,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Farida Gupta,2011,12,Apparel / Fashion,Delhi,125,https://www.instahyre.com/job-194206-customer-experience-associate-at-farida-gupta-delhi/
11,263798,Big Data Scientist,Data Science and Analysis ,Junior Level,Poonam Thute,"Java, Python, SQA, Spark, Scala",HCL Technologies,1976,47,Apparel / Fashion,Bangalore,1000,https://www.instahyre.com/job-263798-big-data-scientist-at-hcl-technologies-bangalore/
12,236683,Copywriter,Marketing ,Junior Level,Suman Naskar,"Content Marketing, Content Writing, English Content",Klothinn,2023,0,Apparel / Fashion,Kolkata,5,https://www.instahyre.com/job-236683-copywriter-at-klothinn-kolkata/
13,113031,Sales Executives - B2B,Sales and Business ,Junior Level,Hr Tistabene,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",Tistabene Retails,2016,7,Apparel / Fashion,"Delhi, Jaipur, Mumbai",30,https://www.instahyre.com/job-113031-sales-executives-b2b-at-tistabene-retails-delhi-jaipur-mumbai/
14,113035,Sales Manager,Sales and Business ,Mid Senior Level,Hr Tistabene,"Business Development, Corporate Sales, Direct Sales",Tistabene Retails,2016,7,Apparel / Fashion,Mumbai,30,https://www.instahyre.com/job-113035-sales-manager-at-tistabene-retails-mumbai/
15,256649,Sales Manager,Sales and Business ,Intermediate Level,Srilakshmi Nair,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Hustlehub,2018,5,Architecture / Interior Design,Bangalore,125,https://www.instahyre.com/job-256649-sales-manager-at-hustlehub-bangalore/
16,261974,Senior Content Writer,Marketing ,Junior Level,Srishti Garg,Content Writing,Internshala,2011,12,Architecture / Interior Design,Noida,125,https://www.instahyre.com/job-261974-senior-content-writer-at-internshala-noida/
17,226934,Senior Sales Executive,Sales and Business ,Junior Level,Anima,"Business Development, Direct Sales, Sales, Telecalling",Truww,2020,3,Architecture / Interior Design,Bangalore,30,https://www.instahyre.com/job-226934-senior-sales-executive-at-truww-bangalore/
18,238770,Product Owner,Technical Management ,Mid Senior Level,Siddhartha S,"Product Management, Agile, Data Analysis, Stakeholder Management, Warranty Management",AGCO Corporation,1990,33,Automotive,Bangalore,1000,https://www.instahyre.com/job-238770-product-owner-at-agco-corporation-bangalore/
19,234368,Sales Consultant,Sales and Business ,Intermediate Level,Disha Behl,"Business Development, Corporate Sales, Direct Sales, Sales",BMW Deutsche Motoren,2007,16,Automotive,Bangalore,350,https://www.instahyre.com/job-234368-sales-consultant-at-bmw-deutsche-motoren-bangalore/
20,263190,Corporate Sales Manager,Sales and Business ,Junior Level,Akshaya Lakshmi,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",ElectricPe,2021,2,Automotive,Bangalore,30,https://www.instahyre.com/job-263190-corporate-sales-manager-at-electricpe-bangalore/
21,227715,Area Sales Manager,Sales and Business ,Mid Senior Level,Yesha Verma,"Business Development, Direct Sales, Sales",Fleetx,2017,6,Automotive,"Ahmedabad, Gandhidham, Mumbai",350,https://www.instahyre.com/job-227715-area-sales-manager-at-fleetx-ahmedabad-gandhidham-mumbai/
22,198835,Zonal Head - Sales,Sales and Business ,Senior,Vikas Kumar,"Business Development, Direct Sales, Sales",Fleetx,2017,6,Automotive,"Jaipur, Kolkata, Surat",350,https://www.instahyre.com/job-198835-zonal-head-sales-at-fleetx-jaipur-kolkata-surat/
23,241120,Relationship Manager,Sales and Business ,Junior Level,Alisha Saha,"Customer Relationship, Direct Sales, Sales",Housing,2012,11,Automotive,Kolkata,1000,https://www.instahyre.com/job-241120-relationship-manager-at-housing-3-kolkata/
24,266251,Customer Support Executive,Sales and Business ,Junior Level,Aravind N,"Customer Interaction, Customer Relationship, Customer Service",ReadyAssist,2016,7,Automotive,Bangalore,350,https://www.instahyre.com/job-266251-customer-support-executive-at-readyassist-bangalore/
25,266255,Regional Manager,Sales and Business ,Junior Level,Aravind N,"Business Development, Corporate Sales, Telecalling",ReadyAssist,2016,7,Automotive,Bangalore,350,https://www.instahyre.com/job-266255-regional-manager-at-readyassist-bangalore/
26,264033,Area Sales Manager,Sales and Business ,Intermediate Level,Ashok Biswal,Sales,Revamp Moto,2020,3,Automotive,"Mumbai, Nasik, Pune",30,https://www.instahyre.com/job-264033-area-sales-manager-at-revamp-moto-mumbai-nasik-pune/
27,258954,Assistant Manager - Procurement & Supply Chain,Operations ,Mid Senior Level,Ekta Singh Assoc Cipd,"Procurement, Supply Chain Management, Vendor Management, Warehouse Operations",Terra Motors Corporation,2010,13,Automotive,Kolkata,350,https://www.instahyre.com/job-258954-assistant-manager-procurement-supply-chain-at-terra-motors-corporation-kolkata/
28,264394,AVP Operations,Operations ,Executive,Shreya Tripathi,"Operations Management, Quality Control, Vendor Management",Clix Capital,2016,7,Banking / Financial / Insurance,Gurgaon,350,https://www.instahyre.com/job-264394-avp-operations-at-clix-capital-gurgaon/
29,265179,Regional Sales Manager (State Head - Sales),Sales and Business ,Senior,Praksheela M,Sales,Kuwy Digital Lender,2017,6,Banking / Financial / Insurance,"Chennai, Cochin, Mumbai",125,https://www.instahyre.com/job-265179-regional-sales-manager-state-head-sales-at-kuwy-digital-lender-chennai-cochin-mumbai/
30,264931,DevOps Engineer,IT Operations and Support ,Mid Senior Level,Bhuvaneshwari T,"AWS, Kubernetes, Linux, RDBMS, SQL",Lendingkart,2014,9,Banking / Financial / Insurance,Bangalore,350,https://www.instahyre.com/job-264931-devops-engineer-at-lendingkart-bangalore/
31,265719,Finance Controller,Operations ,Mid Senior Level,Ambika Yadravi,"Accounting, Auditing, Finance, Taxation, Budgeting, Chartered Accountant, External Audit, Financial Analysis, Financial Planning, Financial Reporting, GST, Internal Audit, MIS, Tally",Open Financial Technologies,2017,6,Banking / Financial / Insurance,Bangalore,350,https://www.instahyre.com/job-265719-finance-controller-at-open-financial-technologies-bangalore/
32,265676,Associate Growth Manager,Sales and Business ,Junior Level,Pratibha K,"Direct Sales, Sales",PickMyWork,2019,4,Banking / Financial / Insurance,Gurgaon,30,https://www.instahyre.com/job-265676-associate-growth-manager-at-pickmywork-gurgaon/
33,266939,Relationship Manager - Lender Partner,Operations ,Mid Senior Level,Punitha Prakash,"Finance, Partnerships",Rupeek,2015,8,Banking / Financial / Insurance,Bangalore,1000,https://www.instahyre.com/job-266939-relationship-manager-lender-partner-at-rupeek-2-bangalore/
34,265410,Relationship Manager,Sales and Business ,Junior Level,Vidhi Jain,"Business Development, Direct Sales, Sales",SAFEinvest,2003,20,Banking / Financial / Insurance,Vadodara,125,https://www.instahyre.com/job-265410-relationship-manager-at-safeinvest-vadodara/
35,266953,Content Writing Specialist,Marketing ,Intermediate Level,Uloapp A New Wave Of Living,"Content Marketing, Content Writing",UloApp,2017,6,Banking / Financial / Insurance,Mumbai,30,https://www.instahyre.com/job-266953-content-writing-specialist-at-uloapp-mumbai/
36,266902,Senior Manager - Strategic and Management,Sales and Business ,Intermediate Level,Uloapp A New Wave Of Living,"General Management, Corporate Strategy, Strategic Planning",UloApp,2017,6,Banking / Financial / Insurance,Mumbai,30,https://www.instahyre.com/job-266902-senior-manager-strategic-and-management-at-uloapp-mumbai/
37,264825,Inside Sales Representative,Sales and Business ,Intermediate Level,Prem Chand,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Y-Axis Overseas,1999,24,Banking / Financial / Insurance,Bangalore,750,https://www.instahyre.com/job-264825-inside-sales-representative-at-y-axis-overseas-bangalore/
